iter	Passed	Remaining
839	4264	812
840	4269	807
841	4273	801
842	4279	797
843	4285	792
844	4289	786
845	4295	781
846	4300	776
847	4306	771
848	4311	766
849	4316	761
850	4321	756
851	4327	751
852	4332	746
853	4337	741
854	4342	736
855	4346	731
856	4352	726
857	4357	721
858	4361	715
859	4366	710
860	4371	705
861	4375	700
862	4380	695
863	4385	690
864	4390	685
865	4395	680
866	4400	675
867	4405	669
868	4410	664
869	4415	659
870	4420	654
871	4424	649
872	4429	644
873	4433	639
874	4438	634
875	4442	628
876	4447	623
877	4452	618
878	4457	613
879	4461	608
880	4466	603
881	4472	598
882	4477	593
883	4482	588
884	4487	583
885	4492	577
886	4497	572
887	4502	567
888	4506	562
889	4512	557
890	4516	552
891	4521	547
892	4526	542
893	4531	537
894	4536	532
895	4541	527
896	4546	522
897	4551	516
898	4556	511
899	4561	506
900	4566	501
901	4571	496
902	4576	491
903	4581	486
904	4586	481
905	4591	476
906	4596	471
907	4601	466
908	4606	461
909	4611	456
910	4616	451
911	4621	445
912	4626	440
913	4631	435
914	4636	430
915	4641	425
916	4646	420
917	4652	415
918	4656	410
919	4661	405
920	4666	400
921	4671	395
922	4676	390
923	4681	385
924	4686	379
925	4691	374
926	4696	369
927	4701	364
928	4706	359
929	4711	354
930	4716	349
931	4721	344
932	4726	339
933	4731	334
934	4736	329
935	4741	324
936	4746	319
937	4751	314
938	4756	308
939	4761	303
940	4766	298
941	4772	293
942	4777	288
943	4782	283
944	4787	278
945	4794	273
946	4800	268
947	4806	263
948	4812	258
949	4818	253
950	4823	248
951	4829	243
952	4834	238
953	4838	233
954	4843	228
955	4848	223
956	4854	218
957	4858	213
958	4864	207
959	4870	202
960	4875	197
961	4880	192
962	4885	187
963	4890	182
964	4896	177
965	4902	172
966	4907	167
967	4912	162
968	4917	157
969	4922	152
970	4927	147
971	4933	142
972	4937	137
973	4943	131
974	4949	126
975	4954	121
976	4959	116
977	4965	111
978	4970	106
979	4975	101
980	4981	96
981	4986	91
982	4991	86
983	4996	81
984	5001	76
985	5006	71
986	5011	66
987	5017	60
988	5022	55
989	5027	50
990	5032	45
991	5037	40
992	5043	35
993	5048	30
994	5053	25
995	5058	20
996	5063	15
997	5068	10
998	5073	5
999	5078	0
